uuid,fish_id,age,length,weight,month,is_male,is_female,is_unknown,is_plaice,is_herring
388b0180-60bc-440d-bd61-446f8bab884a,CAR-025-62-1466,4,0.22,0.07,0.75,0,1,0,1,0
81aeec93-b96d-4e14-b3f4-f49c4a8c18c7,CAR-025-72-1692,6,0.2,0.057,0.75,1,0,0,1,0
230abf76-c986-423d-b569-087489990963,CAR-025-3-0022,5,0.24,0.09,0.75,0,1,0,1,0
c33448fa-5c76-4a3a-b070-619a623906bc,CAR-025-36-0832,6,0.23,0.091,0.75,1,0,0,1,0
f26dc915-152e-4e3c-86b3-03252497dbb1,TEL-232-73-0573,3,0.15,0.021,0.75,0,0,1,1,0
a770fc0b-6220-4520-a9a6-fd209f65424b,TEL-232-73-0570,2,0.09,0.004,0.75,0,0,1,1,0
f95976db-71b5-44ff-90c5-a5ee1a813477,CAR-025-75-1822,9,0.26,0.132,0.75,1,0,0,1,0
91f57894-d58a-438e-95bd-0732dca80f05,CAR-025-65-1556,9,0.28,0.162,0.75,0,1,0,1,0
a92d423a-5fda-4c7c-8ce9-4f6ea464e8cd,CAR-025-38-0857,7,0.23,0.091,0.75,1,0,0,1,0
90d50295-18b0-41a6-b097-1d5d311fcc52,CAR-025-31-0746,6,0.24,0.103,0.75,0,1,0,1,0
99c26ac0-f42e-4e09-becd-d195d7becd38,CAR-025-4-0056,2,0.12,0.01,0.75,0,1,0,1,0
b2b231d3-236a-4cca-8072-0608ef2f1af9,CAR-025-55-1267,3,0.14,0.018,0.75,1,0,0,1,0
12d6dda6-d93b-47fb-ad22-181adc7a0781,CAR-025-45-1013,9,0.32,0.28,0.75,0,1,0,1,0
4c22e1ea-ff96-4415-91f3-43451e434ecb,CAR-025-30-0702,4,0.17,0.03,0.75,1,0,0,1,0
2eced38b-9aba-4563-b065-31a7f91d56a6,CAR-025-41-0958,10,0.3,0.274,0.75,0,1,0,1,0
40a6c405-a90e-48ef-8707-80b4bc0cb4da,CAR-025-39-0893,10,0.31,0.222,0.75,0,1,0,1,0
b6b13bf7-c2ed-4fc4-90c1-698ec12b6502,CAR-025-54-1223,11,0.2,0.055,0.75,1,0,0,1,0
9277f9f5-5923-4068-a364-12f720b3778d,CAR-025-5-0092,2,0.14,0.019,0.75,0,1,0,1,0
a6c821a5-ee8d-47fb-88ec-e557341b2cb7,TEL-232-49-0230,5,0.21,0.056,0.75,0,0,1,1,0
0e4f8716-832b-4286-ad70-8858a72eb7e0,TEL-232-49-0233,7,0.23,0.073,0.75,0,0,1,1,0
5c1ea8ab-f71d-4e65-b860-780c0a3fb524,CAR-025-76-1863,6,0.26,0.148,0.75,0,1,0,1,0
6f4cac5e-f165-4cd6-b990-9f4e3fe5e000,CAR-025-25-0507,6,0.21,0.06,0.75,1,0,0,1,0
65d5627d-4db0-4edd-ac3a-344e9ccd4db0,CAR-025-61-1427,10,0.42,0.77,0.75,0,1,0,1,0
e500810d-a5ca-4899-8904-de86d3a62128,CAR-025-57-1326,9,0.26,0.111,0.75,1,0,0,1,0
4fdbd93a-59c8-42c0-92fc-5b92d97fc8e5,CAR-025-59-1408,5,0.18,0.036,0.75,1,0,0,1,0
a95547c9-3969-4e7b-ac75-8ffa9e39349e,CAR-025-58-1387,2,0.12,0.015,0.75,0,1,0,1,0
83b0c310-be6d-48fb-ac4b-a6b5d2390854,CAR-025-42-0999,4,0.16,0.026,0.75,0,1,0,1,0
9b68ee0f-674d-4f8e-8314-0153c3739cf0,CAR-025-46-1052,4,0.21,0.07,0.75,0,1,0,1,0
2e0bedb3-ac92-4888-b3bc-2fce0d25f267,CAR-025-51-1193,4,0.13,0.015,0.75,0,1,0,1,0
fd40cc88-29dc-4c4d-b664-1769a7df08c3,CAR-025-14-0272,6,0.24,0.085,0.75,0,1,0,1,0
945799bc-9f4e-4b15-bd2f-6ad6606506a3,TEL-232-26-0180,7,0.23,0.086,0.75,0,0,1,1,0
68fd93eb-16ed-48c8-999f-e35daad933cf,CAR-025-56-1299,9,0.33,0.269,0.75,0,1,0,1,0
8a513b6e-8967-4c4e-abac-1a9e69440d32,CAR-025-49-1108,2,0.13,0.013,0.75,1,0,0,1,0
1960e5ec-705c-4fe9-8bb4-9178934b3415,TEL-232-54-0382,4,0.15,0.023,0.75,0,0,1,1,0
f07d2ef5-d05a-47e6-a8fb-f41abd15613a,TEL-232-50-0289,4,0.18,0.044,0.75,0,0,1,1,0
b2619666-6c9c-4e0a-b859-44a55c2ffb29,TEL-232-54-0381,6,0.19,0.041,0.75,0,0,1,1,0
eb0778bf-be42-4b17-9a38-5e458e4efac8,CAR-025-70-1641,13,0.34,0.304,0.75,1,0,0,1,0
a3ffa82f-54c6-42a1-97fd-d7b1e5e94734,CAR-025-7-0185,3,0.15,0.024,0.75,1,0,0,1,0
90424cc4-b568-49ec-b646-c0e399f02f39,CAR-025-34-0788,6,0.21,0.055,0.75,1,0,0,1,0
de1b22e3-4628-432d-8ae2-a3dde14e59fe,CAR-025-13-0250,2,0.1,0.008,0.75,0,0,1,1,0
6e8854ad-6565-43de-89b7-cdbcce260f49,CAR-025-69-1621,6,0.24,0.106,0.75,0,1,0,1,0
88f469b6-6a47-4b9d-9866-c804614fdef8,CAR-025-6-0141,2,0.11,0.009,0.75,1,0,0,1,0
18540ca6-7719-4239-a7a5-e84a4644f7c8,CAR-025-57-1319,8,0.22,0.073,0.75,1,0,0,1,0
f93b389c-1dd2-48c9-8d16-cd55ece96aa4,TEL-232-52-0353,4,0.17,0.03,0.75,0,0,1,1,0
02006b38-2dc5-47b0-a4fd-32dd7c12d944,CAR-025-13-0239,7,0.29,0.17,0.75,0,1,0,1,0
f9e71b38-145f-4df8-975d-20920e01853d,CAR-025-35-0825,4,0.14,0.02,0.75,1,0,0,1,0
d05b39a4-98fb-42c3-86dd-8680f8fa13aa,TEL-232-52-0350,5,0.2,0.052,0.75,0,0,1,1,0
b0232d6e-73e5-4354-858c-8d2c859e51fb,CAR-025-77-1898,4,0.19,0.048,0.75,1,0,0,1,0
8c947107-6233-4107-843f-4ac638da5f1c,CAR-025-25-0538,2,0.13,0.015,0.75,1,0,0,1,0
1ddd47a4-51b6-411d-bfe8-244355ff993b,CAR-025-15-0324,1,0.07,0.002,0.75,0,0,1,1,0
8f22c3e6-eab7-46c5-937e-93d5c197277a,CAR-025-40-0923,13,0.36,0.356,0.75,0,1,0,1,0
f1447f9f-214d-455e-b486-7c6d8b47ef63,CAR-025-19-0466,6,0.22,0.067,0.75,1,0,0,1,0
8f444eb1-5a4c-40f4-8a88-c102c83bbeba,CAR-025-63-1530,4,0.17,0.035,0.75,0,1,0,1,0
a2e8f83d-eb3c-4064-9b38-185543e9e547,CAR-025-73-1744,7,0.21,0.06,0.75,0,1,0,1,0
cb6d5ba9-39a2-49f7-82e9-771ad8d96e3f,CAR-025-38-0868,6,0.24,0.097,0.75,0,1,0,1,0
597f7a02-71fc-413d-aeaa-ff27c7407570,TEL-232-74-0591,5,0.19,0.055,0.75,0,0,1,1,0
e8ae0db9-16cd-41b8-9952-5aeded819b40,TEL-232-74-0592,5,0.26,0.151,0.75,0,0,1,1,0
e61f7705-a367-4c4b-99fd-72e807cd0d81,CAR-025-55-1258,4,0.15,0.023,0.75,1,0,0,1,0
f1cbf7a5-6d05-47f1-a673-b20e568237aa,CAR-025-4-0069,6,0.18,0.03,0.75,1,0,0,1,0
bc5705fc-01e6-400f-b8f2-7157f9447db7,CAR-025-72-1700,4,0.23,0.08,0.75,0,1,0,1,0
3f9addbd-11cd-4bd3-966e-3268b5616014,CAR-025-41-0967,4,0.17,0.034,0.75,0,1,0,1,0
a6d7d3f9-e9f1-4147-a202-260609135b94,TEL-232-50-0286,7,0.21,0.067,0.75,0,0,1,1,0
76086041-805a-4326-b0b0-2e17cf5bad60,CAR-025-27-0615,4,0.18,0.033,0.75,0,1,0,1,0
af5acb0d-ea0a-4554-855f-7dfea39bcc9c,TEL-232-50-0285,8,0.27,0.138,0.75,0,0,1,1,0
3f5cc234-3808-4682-97cd-c0a2fd7b0eb4,CAR-025-62-1459,4,0.2,0.062,0.75,1,0,0,1,0
1b91b438-a378-4b3d-a8e7-b87773d5d8d8,CAR-025-28-0634,3,0.12,0.012,0.75,0,0,1,1,0
4e8e67de-a3dd-4859-b0fc-8b266c6ee879,CAR-025-39-0901,3,0.16,0.025,0.75,0,1,0,1,0
2e2425df-60c1-4de8-a2e3-61584e104aaf,CAR-025-26-0579,2,0.12,0.012,0.75,1,0,0,1,0
dda60f7d-315a-4680-a8ed-5dff9dac716d,CAR-025-16-0365,9,0.32,0.225,0.75,0,1,0,1,0
e902d11c-535d-4d73-aae5-0268aa9cd6ff,CAR-025-10-0211,2,0.12,0.011,0.75,1,0,0,1,0
2d3b6103-a113-4c51-8507-b8f4899dce50,TEL-232-72-0540,12,0.25,0.125,0.75,0,0,1,1,0
5a036f00-80ad-47a7-af91-21f1899099b9,CAR-025-17-0403,12,0.32,0.23,0.75,0,1,0,1,0
9bd1dd39-3a82-43af-8de5-07f56cf763ef,CAR-025-5-0100,4,0.14,0.018,0.75,1,0,0,1,0
73be888b-808b-471f-aeff-cbaa1a37de3d,CAR-025-29-0670,6,0.24,0.102,0.75,0,1,0,1,0
d96692be-d7d6-4141-8429-9d9b754a1daa,CAR-025-61-1439,6,0.24,0.09,0.75,0,1,0,1,0
63130ab2-19d3-4725-b053-242e82ce826f,CAR-025-25-0519,7,0.26,0.107,0.75,1,0,0,1,0
2c62e585-dc04-452c-9093-cd2a97c972e5,CAR-025-15-0305,8,0.25,0.096,0.75,0,1,0,1,0
382bb742-863c-407d-99c4-ea6a44da01c9,CAR-025-57-1338,4,0.16,0.026,0.75,0,1,0,1,0
945812f0-510b-4db0-a0a9-910e712576bb,CAR-025-6-0160,13,0.31,0.247,0.75,0,1,0,1,0
6d4fea77-9d86-4820-9f4b-d0f884a4d06d,CAR-025-57-1351,4,0.14,0.019,0.75,1,0,0,1,0
376eb989-51f0-409e-abcc-e70ac51a66c9,CAR-025-66-1589,10,0.3,0.198,0.75,1,0,0,1,0
62dfd5b4-7a39-4836-9814-6f1e146bdf8f,CAR-025-56-1315,1,0.07,0.002,0.75,0,0,1,1,0
9ec14a67-7730-4e70-a7de-47f413afce1f,TEL-232-49-0251,2,0.11,0.008,0.75,0,0,1,1,0
79e61a0f-11bf-4d80-819d-598c943414f1,TEL-232-22-0050,5,0.21,0.06,0.75,0,0,1,1,0
3d79df21-cb51-401b-a6e2-24043915ae43,CAR-025-76-1894,1,0.06,0.002,0.75,0,0,1,1,0
826460a9-393d-479f-9c55-7c0b435b10be,TEL-232-49-0252,3,0.13,0.015,0.75,0,0,1,1,0
e7dd543c-49bf-41d1-8563-f755de4361b5,CAR-025-49-1084,4,0.16,0.023,0.75,0,1,0,1,0
754d5111-cf95-42b5-a140-67dd2c18117d,TEL-232-22-0053,6,0.19,0.054,0.75,0,0,1,1,0
55f2b813-367b-42e6-a6d7-000e16451d38,CAR-025-60-1414,3,0.16,0.024,0.75,0,1,0,1,0
3082f37e-1713-4a79-9b59-3ec7bed60998,CAR-025-51-1164,4,0.17,0.03,0.75,1,0,0,1,0
5aa2fc62-dc9f-4799-898b-df84b959f724,TEL-232-63-0435,9,0.28,0.166,0.75,0,0,1,1,0
9dc4fa69-a4a8-4b1b-907f-32a1ee20f229,TEL-232-63-0436,4,0.18,0.038,0.75,0,0,1,1,0
e315dc00-f2cd-490d-84a0-304a4ec04de8,CAR-025-14-0285,1,0.07,0.002,0.75,0,0,1,1,0
879aa9e2-a409-4055-b99b-6ac3170c747a,CAR-025-50-1120,6,0.19,0.046,0.75,0,1,0,1,0
fe030f9e-0e05-47e5-bcdd-fe78dbee8df1,CAR-025-58-1370,10,0.27,0.146,0.75,0,1,0,1,0
69fa2336-350d-4609-b630-8debc1e5514c,CAR-025-50-1149,13,0.39,0.482,0.75,0,1,0,1,0
e9c7d94b-ea23-4156-8a67-d9f0107ad908,CAR-025-65-1548,6,0.21,0.074,0.75,1,0,0,1,0
6c6ff7fb-e455-4ab4-8338-5c30d249aa26,CAR-025-75-1855,3,0.14,0.015,0.75,0,1,0,1,0
977265b0-ac81-482e-b7bd-f73bfee9838d,CAR-025-62-1491,1,0.09,0.003,0.75,0,0,1,1,0
e0094258-aec7-441f-9ca7-0392825f8dea,CAR-025-74-1811,4,0.13,0.014,0.75,0,0,1,1,0
b2c7deb5-ff74-422c-9897-8c97ac5055bc,CAR-025-17-0422,9,0.34,0.358,0.75,0,1,0,1,0
